codigo_iniciativa;codigo_orgao;nome_orgao;valor_empenhado;valor_liquidado;valor_pago_financeiro;valor_liquidado_rp;valor_cancelado_processado;valor_restabelecido_processado;valor_cancelado_nao_processado;valor_restabelecido_nao_processado;valor_cancelado_rp;valor_empenhado_efetivo;valor_pago_processado;valor_pago_nao_processado;valor_pago_rp;valor_pago_total
9445683;4291;FUNDO ESTADUAL DE SAUDE;156450857,0;70847450,34;70847450,34;;;;;;;156450857,0;;;;70847450,34
9445684;4251;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;209101,99;209101,99;209101,99;;;;;;;209101,99;;;;209101,99
9445718;4251;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;5973853,61;5971783,16;5471783,16;;;;;;;5973853,61;;;;5471783,16
9445721;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;9360945,0;0,0;0,0;;;;;;;9360945,0;;;;0,0
9452379;1491;SECRETARIA DE ESTADO DE GOVERNO;5000000,0;5000000,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;5000000,0;2500000,0;0,0;2500000,0;2500000,0
9452379;2301;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;331548013,12;150581855,19;142082857,64;17110597,25;0,0;0,0;10601950,53;23767,08;10625717,61;320922295,51;5029440,01;16921421,39;21950861,4;164033719,04
9456622;4251;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;37656,38;37656,38;26623,94;;;;;;;37656,38;;;;26623,94
9456627;1401;CORPO DE BOMBEIROS MILITAR DO ESTADO DE MINAS GERAIS;2400949,0;0,0;0,0;172000,0;0,0;0,0;0,0;0,0;0,0;2400949,0;0,0;169987,02;169987,02;169987,02
9456627;1511;POLICIA CIVIL DO ESTADO DE MINAS GERAIS;243900,6;15161,15;7064,85;;;;;;;243900,6;;;;7064,85
9468055;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;298061,56;237715,09;201064,33;31325,06;0,0;0,0;9651,6;0,0;9651,6;288409,96;0,0;26472,9;26472,9;227537,23
9468055;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;270953,82;264560,43;172455,6;0,0;0,0;0,0;0,0;0,0;0,0;270953,82;23722,79;0,0;23722,79;196178,39
9468055;1481;SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL;410943,68;321827,42;272313,27;44810,88;0,0;0,0;0,0;0,0;0,0;410943,68;1339,42;37860,38;39199,8;311513,07
9468055;1501;SECRETARIA DE ESTADO DE PLANEJAMENTO E GESTAO;4459670,57;2705090,15;2215604,0;302674,08;0,0;0,0;726037,97;0,0;726037,97;3733632,6;12856,3;255763,76;268620,06;2484224,06
9468055;4251;FUNDO ESTADUAL DE ASSISTENCIA SOCIAL;422138,72;334715,09;281848,69;46987,59;0,0;0,0;0,0;0,0;0,0;422138,72;0,0;39709,36;39709,36;321558,05
9468057;1371;SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTAVEL;8311574,75;7746132,71;5579292,92;565340,29;0,0;0,0;0,0;0,0;0,0;8311574,75;0,0;476940,26;476940,26;6056233,18
9470658;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;2592199,31;296909,12;296909,12;572010,63;0,0;0,0;1383748,21;0,0;1383748,21;1208451,1;0,0;552155,25;552155,25;849064,37
9473170;2301;DEPARTAMENTO DE ESTRADAS DE RODAGEM DO ESTADO DE MINAS GERAIS;736365,61;350401,39;350401,39;188341,65;0,0;0,0;197622,57;0,0;197622,57;538743,04;0,0;188341,65;188341,65;538743,04
9473171;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;14784813,95;3554388,94;3551283,94;628366,4;0,0;0,0;0,0;0,0;0,0;14784813,95;0,0;628366,4;628366,4;4179650,34
9474703;1231;SECRETARIA DE ESTADO DE AGRICULTURA, PECUARIA E ABASTECIMENTO;79058892,35;78541892,26;77547634,67;517000,0;0,0;0,0;0,09;0,0;0,09;79058892,26;0,0;509950,0;509950,0;78057584,67
9480259;1221;SECRETARIA DE ESTADO DE DESENVOLVIMENTO ECONOMICO;8534591,7;8438645,3;8439007,3;;;;;;;8534591,7;;;;8439007,3
9493230;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;3500000,0;0,0;0,0;;;;;;;3500000,0;;;;0,0
9493391;1071;GABINETE MILITAR DO GOVERNADOR DO ESTADO DE MINAS GERAIS;11399338,2;0,0;0,0;;;;;;;11399338,2;;;;0,0
9501912;1301;SECRETARIA DE ESTADO DE INFRAESTRUTURA, MOBILIDADE E PARCERIAS;14924854,53;14924854,53;4477456,36;;;;;;;14924854,53;;;;4477456,36
9501917;1491;SECRETARIA DE ESTADO DE GOVERNO;7500000,0;7500000,0;3750000,0;;;;;;;7500000,0;;;;3750000,0
