ano_de_exercicio;mes_descritivo;unidade_orcamentaria_codigo;unidade_orcamentaria_nome;classificacao_receita_descricao;classificacao_receita_formatado;valor_arrecadado_liquido
2024;Dezembro;9999;EMG - ADMINISTRACAO DIRETA;DEMAIS REC. CAPITAL - PRINC. - ROMPIMENTO DA BARRAGEM DE FUNDAO EM MARIANA - ACORDO JUDICIAL DE REPARACAO INTEGRAL E DEFINITIVA;2999.99.0.1.04.000;310515903,98
2024;Dezembro;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;310515903,98
2025;Abril;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;2995148,47
2025;Agosto;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;14845558,06
2025;Dezembro;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;27910418,22
2025;Fevereiro;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;3083631,22
2025;Janeiro;9999;EMG - ADMINISTRACAO DIRETA;DEMAIS REC. CAPITAL - PRINC. - ROMPIMENTO DA BARRAGEM DE FUNDAO EM MARIANA - ACORDO JUDICIAL DE REPARACAO INTEGRAL E DEFINITIVA;2999.99.0.1.04.000;
2025;Janeiro;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;
2025;Julho;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;10803651,24
2025;Junho;9999;EMG - ADMINISTRACAO DIRETA;DEMAIS REC. CAPITAL - PRINC. - ROMPIMENTO DA BARRAGEM DE FUNDAO EM MARIANA - ACORDO JUDICIAL DE REPARACAO INTEGRAL E DEFINITIVA;2999.99.0.1.04.000;846091078,28
2025;Junho;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;846091078,28
2025;Maio;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;3326424,56
2025;Março;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;3043139,48
2025;Novembro;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;15387953,63
2025;Outubro;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;14539798,82
2025;Setembro;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;13717383,76
2026;Abril;9999;EMG - ADMINISTRACAO DIRETA;DEMAIS REC. CAPITAL - PRINC. - ROMPIMENTO DA BARRAGEM DE FUNDAO EM MARIANA - ACORDO JUDICIAL DE REPARACAO INTEGRAL E DEFINITIVA;2999.99.0.1.04.000;494575886,39
2026;Abril;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;494575886,39
2026;Fevereiro;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;14517354,3
2026;Janeiro;9999;EMG - ADMINISTRACAO DIRETA;DEMAIS REC. CAPITAL - PRINC. - ROMPIMENTO DA BARRAGEM DE FUNDAO EM MARIANA - ACORDO JUDICIAL DE REPARACAO INTEGRAL E DEFINITIVA;2999.99.0.1.04.000;
2026;Janeiro;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;
2026;Março;9999;EMG - ADMINISTRACAO DIRETA;REMUNERACAO DEPOSITOS BANCARIOS - PRINC.;1321.01.0.1.01.000;12551122,09
